100001CLM0010120260526FRONT BUMPER DAMAGE                               001265800APPROVED  
100008CLM0010220260327WINDSHIELD CRACK                                  000225600APPROVED  
100010CLM0010320260515SIDE PANEL SCRATCH                                001018900PENDING   
100017CLM0010420260221SIDE PANEL SCRATCH                                000971100REJECTED  
100020CLM0010520260323WINDSHIELD CRACK                                  001009700PENDING   
100022CLM0010620260310ENGINE WATER DAMAGE                               001137300APPROVED  
100023CLM0010720260225REAR COLLISION DENT                               000570200REJECTED  
100026CLM0010820260118SIDE PANEL SCRATCH                                000692300PENDING   
100030CLM0010920260322WINDSHIELD CRACK                                  001228700APPROVED  
100031CLM0011020260223SIDE PANEL SCRATCH                                001346200PENDING   
100033CLM0011120260419ENGINE WATER DAMAGE                               000101700PENDING   
100035CLM0011220260310FRONT BUMPER DAMAGE                               001280300REJECTED  
100038CLM0011320260528SIDE PANEL SCRATCH                                000501700APPROVED  
100042CLM0011420260301REAR COLLISION DENT                               000962200APPROVED  
100043CLM0011520260123ENGINE WATER DAMAGE                               000931500REJECTED  
100048CLM0011620260611FRONT BUMPER DAMAGE                               000387100APPROVED  
100049CLM0011720260101ENGINE WATER DAMAGE                               000370900REJECTED  
100050CLM0011820260227TRANSMISSION FAILURE                              001343500PENDING   
100052CLM0011920260412REAR COLLISION DENT                               001305500REJECTED  
100062CLM0012020260202FRONT BUMPER DAMAGE                               000259000APPROVED  
100063CLM0012120260225FRONT BUMPER DAMAGE                               001485100APPROVED  
100066CLM0012220260627REAR COLLISION DENT                               000074900APPROVED  
100069CLM0012320260324REAR COLLISION DENT                               000760100PENDING   
100070CLM0012420260122ENGINE WATER DAMAGE                               000392000PENDING   
100072CLM0012520260217REAR COLLISION DENT                               000456900APPROVED  
100075CLM0012620260317REAR COLLISION DENT                               000525000PENDING   
100077CLM0012720260317REAR COLLISION DENT                               001177700APPROVED  
100078CLM0012820260120FRONT BUMPER DAMAGE                               000169600APPROVED  
100079CLM0012920260528SIDE PANEL SCRATCH                                001461500APPROVED  
100080CLM0013020260312TRANSMISSION FAILURE                              001072200APPROVED  
100081CLM0013120260124FRONT BUMPER DAMAGE                               001436700REJECTED  
100082CLM0013220260212TRANSMISSION FAILURE                              001312200PENDING   
100083CLM0013320260607SIDE PANEL SCRATCH                                000395500REJECTED  
100084CLM0013420260402SIDE PANEL SCRATCH                                000258600APPROVED  
100086CLM0013520260621REAR COLLISION DENT                               000845500REJECTED  
100087CLM0013620260518FRONT BUMPER DAMAGE                               001326100PENDING   
100090CLM0013720260508FRONT BUMPER DAMAGE                               000993000PENDING   
100092CLM0013820260418WINDSHIELD CRACK                                  000203900REJECTED  
100093CLM0013920260419REAR COLLISION DENT                               000051400PENDING   
100095CLM0014020260410FRONT BUMPER DAMAGE                               001042600REJECTED  
100096CLM0014120260305TRANSMISSION FAILURE                              000252800PENDING   
100097CLM0014220260520REAR COLLISION DENT                               000210800REJECTED  
100098CLM0014320260115SIDE PANEL SCRATCH                                000953600PENDING   
100101CLM0014420260303TRANSMISSION FAILURE                              000262900REJECTED  
100103CLM0014520260411ENGINE WATER DAMAGE                               000051300APPROVED  
100110CLM0014620260503TRANSMISSION FAILURE                              001323000APPROVED  
100111CLM0014720260108WINDSHIELD CRACK                                  000961800APPROVED  
100112CLM0014820260109WINDSHIELD CRACK                                  001173600REJECTED  
100113CLM0014920260426FRONT BUMPER DAMAGE                               001185500PENDING   
100114CLM0015020260116FRONT BUMPER DAMAGE                               001195900PENDING   
